master_protein	cells	treatment	rep
Q96EY7	MCF10A	CL	1
Q9BTE3	MCF10A	CL	1
P48643	MCF10A	CL	1
O00505	MCF10A	CL	1
O14776	MCF10A	CL	1
P42677	MCF10A	CL	1
P22102	MCF10A	CL	1
P62854	MCF10A	CL	1
Q13409	MCF10A	CL	1
P54709	MCF10A	CL	1
Q9BY44	MCF10A	CL	1
P53985	MCF10A	CL	1
P08195	MCF10A	CL	1
Q9UK76	MCF10A	CL	1
Q9UHD8	MCF10A	CL	1
O76094	MCF10A	CL	1
P26640	MCF10A	CL	1
P62269	MCF10A	CL	1
Q8WUA2	MCF10A	CL	1
Q9NZN8	MCF10A	CL	1
P02786	MCF10A	CL	1
Q9Y263	MCF10A	CL	1
Q969Q0	MCF10A	CL	1
P62753	MCF10A	CL	1
Q14C86	MCF10A	CL	1
P26373	MCF10A	CL	1
Q96G46	MCF10A	CL	1
P06703	MCF10A	CL	1
Q12905	MCF10A	CL	1
Q9H0D6	MCF10A	CL	1
P09525	MCF10A	CL	1
P40926	MCF10A	CL	1
Q69YQ0	MCF10A	CL	1
P04083	MCF10A	CL	1
Q86YT6	MCF10A	CL	1
Q5T0Z8	MCF10A	CL	1
P56192	MCF10A	CL	1
Q8ND24	MCF10A	CL	1
Q15365	MCF10A	CL	1
Q5JRX3	MCF10A	CL	1
P35268	MCF10A	CL	1
P25445	MCF10A	CL	1
P31948	MCF10A	CL	1
Q9UGP4	MCF10A	CL	1
P02795	MCF10A	CL	1
P23508	MCF10A	CL	1
O60763	MCF10A	CL	1
Q5T9A4	MCF10A	CL	1
Q96KR1	MCF10A	CL	1
Q16543	MCF10A	CL	1
P55290	MCF10A	CL	1
Q6UXH1	MCF10A	CL	1
P15531	MCF10A	CL	1
Q9NX24	MCF10A	CL	1
P35580	MCF10A	CL	1
Q12792	MCF10A	CL	1
P16615	MCF10A	CL	1
O14896	MCF10A	CL	1
O15020	MCF10A	CL	1
Q8WUM4	MCF10A	CL	1
P07204	MCF10A	CL	1
Q9P219	MCF10A	CL	1
P51858	MCF10A	CL	1
P09497	MCF10A	CL	1
